Date,Open,High,Low,Close,Adj Close,Volume
2003-05-12,91.14,91.19,90.73,91.15,44.21,364700
2003-05-13,90.90,91.37,90.83,91.35,44.30,227800
2003-05-14,91.83,92.98,91.62,92.75,44.98,1426500
2003-05-15,92.60,93.57,92.60,93.04,45.12,810300
2003-05-16,93.48,93.76,92.95,93.72,45.45,703900
2003-05-19,94.11,94.24,93.13,93.40,45.30,817800
2003-05-20,93.15,94.78,93.12,94.78,45.97,606600
2003-05-21,94.25,95.66,94.12,94.77,45.96,1799600
2003-05-22,95.10,95.70,94.90,95.61,46.37,576200
2003-05-23,95.77,96.21,95.64,95.85,46.49,690600
2003-05-27,95.62,95.71,94.12,94.12,45.65,846400
2003-05-28,93.90,94.14,93.31,93.96,45.57,730500
2003-05-29,94.30,94.80,94.07,94.78,45.97,508300
2003-05-30,94.45,94.74,93.97,94.60,45.88,722200
2003-06-02,93.88,93.88,93.09,93.51,45.54,478600
2003-06-03,93.76,94.58,93.71,94.26,45.91,389400
2003-06-04,94.46,94.71,94.05,94.54,46.04,394100
2003-06-05,95.20,95.38,93.80,93.80,45.68,820900
2003-06-06,93.70,94.15,93.38,94.14,45.85,276800
2003-06-09,94.70,94.88,94.27,94.77,46.16,282200
2003-06-10,95.08,95.93,95.07,95.90,46.71,534800
2003-06-11,96.25,96.60,95.70,95.78,46.65,633600
2003-06-12,96.11,96.73,96.01,96.53,47.01,315400
2003-06-13,96.93,97.28,96.76,97.18,47.33,478400
2003-06-16,97.50,97.66,96.26,96.26,46.88,789300
2003-06-17,95.97,96.03,95.40,95.50,46.51,691600
2003-06-18,95.06,95.06,94.20,94.28,45.92,657600
2003-06-19,93.96,94.48,93.50,94.10,45.83,817700
2003-06-20,93.90,94.05,93.03,93.75,45.66,561700
2003-06-23,93.82,94.43,93.53,94.31,45.93,819900
2003-06-24,94.15,95.18,94.01,95.18,46.36,292900
2003-06-25,95.42,95.49,93.45,93.66,45.61,1002800
2003-06-26,93.25,93.25,92.12,92.40,45.00,1423800
2003-06-27,92.55,92.55,91.55,92.07,44.84,735900
2003-06-30,91.92,92.52,91.68,92.50,45.05,541900
2003-07-01,92.15,92.49,91.51,91.69,44.83,449000
2003-07-02,91.20,92.07,91.11,91.92,44.94,338800
2003-07-03,91.70,91.71,90.60,90.60,44.29,559100
2003-07-07,90.28,90.59,90.02,90.02,44.01,465400
2003-07-08,90.43,90.48,89.63,90.10,44.05,389600
2003-07-09,90.53,90.69,90.11,90.39,44.19,270400
2003-07-10,90.69,90.75,90.12,90.36,44.18,718000
2003-07-11,90.30,90.79,90.21,90.79,44.39,389500
2003-07-14,90.68,90.87,89.63,89.75,43.88,465900
2003-07-15,89.54,89.86,87.40,87.65,42.85,3171100
2003-07-16,87.41,88.72,87.15,88.15,43.10,1205400
2003-07-17,87.33,88.04,87.18,87.88,42.96,1030600
2003-07-18,87.65,87.96,87.44,87.70,42.88,550800
2003-07-21,87.50,87.60,85.65,85.84,41.97,1267600
2003-07-22,85.97,86.36,85.44,86.26,42.17,1576900
2003-07-23,86.80,87.05,86.40,86.55,42.31,1374700
2003-07-24,85.90,86.08,85.55,85.79,41.94,701100
2003-07-25,85.98,86.62,85.40,85.56,41.83,1273500
2003-07-28,85.24,85.29,84.40,84.41,41.27,1268500
2003-07-29,84.18,85.35,83.26,83.26,40.71,2139300
2003-07-30,83.74,84.72,83.57,84.20,41.16,1963400
2003-07-31,83.69,83.71,82.23,82.95,40.55,4706400
2003-08-01,82.10,82.79,81.98,82.51,40.52,3061200
2003-08-04,82.48,83.22,82.35,83.22,40.87,1858700
2003-08-05,83.21,83.29,81.80,82.03,40.29,2413000
2003-08-06,82.50,83.77,82.37,83.65,41.08,2549700
2003-08-07,83.80,84.05,83.14,84.00,41.25,1796400
2003-08-08,84.34,84.79,83.65,83.66,41.09,2399100
2003-08-11,83.55,83.57,82.91,83.24,40.88,1355000
2003-08-12,83.42,83.65,82.80,82.85,40.69,1534200
2003-08-13,82.20,82.35,81.19,81.25,39.90,2258100
2003-08-14,81.44,82.10,80.91,82.05,40.30,1612300
2003-08-15,82.20,82.50,81.90,82.00,40.27,515100
2003-08-18,82.30,82.60,82.01,82.38,40.46,655300
2003-08-19,82.55,83.65,82.50,83.65,41.08,1086500
2003-08-20,83.83,83.87,82.74,83.20,40.86,503600
2003-08-21,83.06,83.45,82.42,83.00,40.76,783600
2003-08-22,82.95,83.85,82.90,83.37,40.95,413200
2003-08-25,83.32,83.54,82.25,82.72,40.63,648200
2003-08-26,82.45,83.37,82.32,83.37,40.95,837200
2003-08-27,83.27,83.27,82.61,82.99,40.76,409100
2003-08-28,83.23,83.98,83.23,83.85,41.18,557200
2003-08-29,83.94,83.99,83.38,83.65,41.08,651100
2003-09-02,83.63,83.65,82.04,82.06,40.48,868700
2003-09-03,82.48,82.48,81.88,82.19,40.55,639900
2003-09-04,82.49,82.71,82.16,82.65,40.77,562900
2003-09-05,83.40,84.09,83.17,84.07,41.47,838000
2003-09-08,83.63,84.45,83.20,83.20,41.04,621100
2003-09-09,83.52,83.94,82.92,83.80,41.34,599900
2003-09-10,83.90,84.70,83.82,84.65,41.76,1285900
2003-09-11,84.26,84.38,83.80,84.10,41.49,859500
2003-09-12,85.02,85.38,84.45,84.68,41.77,1375300
2003-09-15,84.50,84.89,84.11,84.55,41.71,367100
2003-09-16,84.37,84.50,83.90,84.42,41.65,655200
2003-09-17,84.72,85.56,84.48,85.47,42.16,1223900
2003-09-18,85.65,85.65,84.83,85.53,42.19,615000
2003-09-19,85.65,86.03,85.49,85.63,42.24,869300
2003-09-22,85.00,85.18,84.23,84.95,41.91,1126400
2003-09-23,84.88,85.54,84.64,85.53,42.19,632100
2003-09-24,85.54,86.49,85.34,86.27,42.56,1005300
2003-09-25,86.30,86.72,86.15,86.70,42.77,846800
2003-09-26,86.94,87.49,86.82,87.48,43.16,1869700
2003-09-29,87.02,87.45,86.66,86.78,42.81,743000
2003-09-30,87.00,88.25,86.96,88.22,43.52,1623900
2003-10-01,87.50,87.93,87.35,87.52,43.36,931900
2003-10-02,86.84,87.45,86.40,87.12,43.16,1194100
2003-10-03,86.05,86.20,85.10,85.29,42.25,1451200
2003-10-06,85.12,85.79,85.08,85.66,42.43,507200
2003-10-07,85.45,85.57,84.63,84.67,41.94,594200
2003-10-08,84.45,84.98,84.35,84.65,41.93,811800
2003-10-09,83.92,84.13,83.65,84.05,41.64,1385600
2003-10-10,84.50,84.73,84.30,84.55,41.88,256600
2003-10-13,84.35,84.50,84.22,84.22,41.72,116300
2003-10-14,83.75,84.10,83.55,83.64,41.43,337100
2003-10-15,83.16,83.30,82.85,83.23,41.23,465600
2003-10-16,83.48,83.77,82.75,82.90,41.07,564900
2003-10-17,83.08,83.69,83.01,83.54,41.38,354500
2003-10-20,83.45,84.15,83.42,83.82,41.52,281600
2003-10-21,84.03,84.38,83.85,84.13,41.68,429700
2003-10-22,84.60,85.00,84.40,84.95,42.08,798000
2003-10-23,85.00,85.00,84.02,84.33,41.78,1055600
